,imdb_id,reviewer,review,index
0,tt10872600,Olivia Zayas Ryan,"For Maguire and Garfield’s characters, the multiverse allows them a chance to make things right in the MCU.",0
1,tt10872600,Steven D. Greydanus,Crossover comfort food with a redemptive twist.,1
2,tt10872600,Liz Shannon Miller,"Throughout all of it, the weird and complex history of Spider-Man as a cinematic icon isn't a hindrance to the story; instead, it's an enhancement, using the quirks of the character's legacy as a source of illumination into why he has endured so long.",2
3,tt10872600,Allegra Frank,The movie allows for a surprisingly impactful reappraisal of a long-held Spidey franchise consensus.,3
4,tt10872600,Anupama Chopra,"This film is fan service at its best because even us, casual lovers, can enjoy the ride.",4
5,tt10872600,Damian Levy,"Dafoe and Molina are the scene stealers in the movie, with a special mention to Dafoe for bringing back the terror he gave me at the age of 6.",5
6,tt10872600,Christy Lemire,"This movie's a total blast, but it's also surprisingly emotional at times, too.",6
7,tt10872600,Richard Whittaker,"So often in these big multi-villain events, the hero gets swallowed up, but here he defines the film.",7
8,tt10872600,Oliver Jones,A film destined to be enthusiastically embraced by both old-school web slinger junkies and fans of the multi-film corporate franchise in which he is currently ensnared.,8
9,tt10872600,John Wenzel,"Despite Marvel's usual bloat and a swirling storm of characters, ""Spider-Man: No Way Home"" earns its joy and sorrow with thematic substance, the breathless action often contrasted with quiet reflection and grief.",9
10,tt10872600,Sandra Hall,"It's a form of breaking the fourth wall, inviting the audience in to share a joke with the actors, and verges on parody. Yet somehow they carry it off without diluting our sense of involvement with Peter and those he loves.",10
11,tt10872600,Wendy Ide,"An overflowing, funnel-web cornucopia of treats for Spider-fans.",11
12,tt10872600,Nicholas Barber,"No Way Home isn't just about looking back at old films. It also opens up new avenues for the Marvel Universe - or the Marvel Multiverse, to be more accurate.",12
13,tt10872600,tt stern-enzi,It feels like the first time that this Peter Parker gets to grow up.,13
14,tt10872600,Clarisse Loughrey,It reaches a point at which the division between sincerity and cynicism doesn't seem to matter much anymore - it will work for the right people. And that is an art in itself.,14
15,tt10872600,Bilge Ebiri,"While the previous Holland films have been mediocre in modest ways, No Way Home feels downright aggressive in its mediocrity...",15
16,tt10872600,Helen O'Hara,"Spider-Man is always best on the back foot, and this film puts him thoroughly through the wringer. But it also gives him room to shine, and packs an emotional punch that could floor any of his villains.",16
17,tt10872600,Peter Travers,"Tom Holland is better than ever in his surprise-packed, third solo outing as a teen hero in a onesie who's out to save the world and a faltering pandemic box office. But this time the generic thrills are tempered with genuine emotion. Good one, Spidey.",17
18,tt10872600,Rafer Guzman,"Short on story, long on insider humor, this Spidey entry marks a sudden drop-off in quality.",18
19,tt10872600,Mark Feeney,"You don't need to have seen any of the previous Spider-Man movies to follow this one. But it's much more entertaining - more affecting, too - if you have.",19
20,tt11466222,Christy Lemire,You've got to admire their commitment to the bit... I laughed quite a bit.,20
21,tt11466222,Max Maller,"Many are the amateur farts these films have kindled, Johnny Knoxville-voiced skull and crutch-crossbone disclaimer be damned. But the franchise’s lasting aesthetic mark is as a movie-shaped slot machine of rapid-fire bits.",21
22,tt11466222,Shannon Keating,"Thank god for Knoxville, Steve-O, and their band of mismatched brothers. Though their bodies might be 20 years older than when they first started putting them through hell and back to entertain us... their inner enfants terribles have yet to grow up.",22
23,tt11466222,David Sims,"Perhaps this really is the last Jackass; regardless, the series has survived so long not just because of the extravagance it conjures, but because of the camaraderie it inspires.",23
24,tt11466222,Alissa Wilkinson,"I stumbled into the night after Jackass Forever with aching cheeks from laughing, a sore derriere from sitting, and a little bit of gratitude to inhabit a planet with people who don’t mind being fools on purpose.",24
25,tt11466222,Simran Hans,"The cumulative effect is strangely heartwarming, a touching insight into 20 years of indestructible male friendship.",25
26,tt11466222,Sara Michelle Fetters,"Is this a great motion picture? No. Of course not. Did watching it make me happy? Yes, to an almost impossible to describe degree.",26
27,tt11466222,Richard Roeper,"While some of the new antics of Johnny Knoxville and crew are hilariously creative, they won’t win over anyone tired of watching the pain.",27
28,tt11466222,Bilge Ebiri,"Jackass Forever is a kinder, gentler Jackass, but thankfully, it’s not a more mature one.",28
29,tt11466222,Kevin Maher,An unwelcome return for idiotic toxicity.,29
30,tt11466222,Kristy Puchko,"Jackass Forever is a celebration of the blurry line between youth and adulthood, and how it's totally worth shtting all over.",30
31,tt11466222,Kimber Myers,"Jackass Forever is at once profoundly stupid and giddily brilliant, with some of the bits here reaching series’ best status.",31
32,tt11466222,Jake Coyle,"What good is a “triple wedgie” if you can’t share it with your pals? It’s a formula that’s been little changed in Jackass since its inception. But, you know. If it ain’t broke.",32
33,tt11466222,Barry Hertz,"I watched a good deal of it while either covering my eyes, gritting my teeth, grimacing so hard that my jaw snapped, yelping in half-mock terror, suppressing the urge to throw up or laughing maniacally.",33
34,tt11466222,Matt Zoller Seitz,The deepest example of the template that the iJackass/i TV series and movie franchise devised and perfected.,34
35,tt11466222,Amy Nicholson,Bones get brittle. The heart muscle remains strong.,35
36,tt11466222,Danny Leigh,"Cackling ringmaster Johnny Knoxville still heads a familiar ragbag, performing a brand of stripped-back, injurious slapstick born of universal questions: how much will this hurt and when will I throw up?",36
37,tt11466222,Joshua Rothkopf,"One day, these guys will be doing these pranks in a retirement home, cameras or no.",37
38,tt11466222,Hau Chu,The stunts are masterfully dumb (and funny as ever).,38
39,tt11466222,Stephanie Zacharek,"It shouldn’t be fun to watch anybody being humiliated. Yet the core Jackass group make it fun, not only by laughing at each other, but by so willingly laughing at themselves.",39
40,tt10223460,Liz Shannon Miller,"Perhaps Marry Me would have been better served by spending less time selling us on the premise, and more time selling us on the characters involved.",40
41,tt10223460,Richard Lawson,"The soundtrack is as safe and smooth as the film. A shame, when both could have been so much louder, and had us on the floor.",41
42,tt10223460,Tim Cogshell,I am so surprised by how much I enjoyed this... An utterly delightful film.,42
43,tt10223460,Brooks Eisenbise,"If you’re coming to the theater as a fan of Lopez’s music and abs, you’ll get a heaping dose of both. But if you want to be swept off your feet, I’d look for something with a bit more heat.",43
44,tt10223460,Sara Michelle Fetters,"This is a smart, character-driven romantic comedy that pulls at the heartstrings with confident flair.",44
45,tt10223460,Max Weiss,"Look, Marry Me is no Notting Hill, the ne plus ultra of “regular schmo dates celebrity” movies. But it gets the job done.",45
46,tt10223460,Randy Myers,"It’ll be hated by cynics, loved by others.",46
47,tt10223460,James Luxford,"There's nothing wrong with an escapist rom-com, but this borrows too much from better films in the genre, and feels like a mash-up of what's come before.",47
48,tt10223460,Richard Brody,"“Marry Me,” directed by Kat Coiro, does more than celebrate its lead actors; it suggests the meaning, the substance, that’s built into their cinematic celebrity.",48
49,tt10223460,Richard Roeper,Nice chemistry between Jennifer Lopez and Owen Wilson is drowned out by dopey scenes and shameless product placement.,49
50,tt10223460,Dwight Brown,This Valentine’s Day offering feels like a present that’s been regifted and passed along.,50
51,tt10223460,Wendy Ide,"[A] silly, shallow romcom... thin and predictable...",51
52,tt10223460,Kristy Puchko,"Surprising, sexy, and smart, Marry Me isn't just a charmer, it's one of the best romantic comedies of the last decade.",52
53,tt10223460,James Berardinelli,Marry Me isn’t good enough to transcend the limitations of the genre but it’s a passably enjoyable throwback to the heyday of rom-coms.,53
54,tt10223460,David Sims,Hollywood should recognize the value of this particular nostalgia -- generations of rom-com fans are crying out for it.,54
55,tt10223460,Sandra Hall,"It’s not nearly as sharp as it could be, but it has a lot more charm than the hype suggests.",55
56,tt10223460,Thelma Adams,"This song-filled Valentine is a little Notting Hill, a little Runaway Bride, from a self-aware entertainer famed for the many superstars who’ve shared her life.",56
57,tt10223460,Ty Burr,"Because I have a professional reputation to maintain, I can’t in good conscience give this giant block of halvah more than a two-and-a-half star rating. But I ate the whole thing, and I do not regret it.",57
58,tt10223460,John Anderson,"When a movie has to spend almost two hours trying and failing to justify a ridiculous premise, someone really wanted to get it made. Those watching on Peacock will be wondering who. And why. And how.",58
59,tt10223460,Peter Travers,"Its shameless fluff wrapped in a blanket of bland. You wont believe a word of this romcom knockoff, but JLo and Owen Wilson work real hard to convince you that love is the answer.",59
60,tt12889404,Jason Bailey,"""'Cyrano' is a recommendation with reservation; it gets off to such a rocky start, you may be tempted to bail. Ride it out. Its worth the wait.""",60
61,tt12889404,Tim Cogshell,I like this conceit better... But the best thing here is Peter Dinklage's Cyrano.,61
62,tt12889404,Mark Kermode,"The songs didn't fly, and it felt kind of stagey...",62
63,tt12889404,Cary Darling,"A lush, moving and emotionally rich story of longing, love and acceptance featuring a standout performance from Peter Dinklage who -- as he did in “The Station Agent” way back in 2003 -- proves that he is leading-man material.",63
64,tt12889404,Max Weiss,This Cyrano is a beautiful bummer.,64
65,tt12889404,Scott Tobias,Cyrano is a testament to the durability and malleability of this material. Make it a musical. Make it a comedy. Make it a swashbuckler. Cyrano de Bergerac is hard to screw up.,65
66,tt12889404,Clarisse Loughrey,"A lavish, cut-your-heart-out-and-smack-it-on-the-table musical adaptation of the 1897 play by Edmond Rostand.",66
67,tt12889404,Bob Mondello,"The wind goes out of ""Cyrano"" the musical when the balcony scene fizzles. And it never really recovers, none of which diminishes Dinklage's star power.",67
68,tt12889404,Wendy Ide,"Dinklage is a world-class acting talent who is more than able to hold his own against the rather overegged directing style of Joe Wright, who never saw a frame he didn’t want to fill with jostling extras and livestock.",68
69,tt12889404,Richard Brody,"“Cyrano” is a thuddingly dull film that sinks under the ponderous undigested mass of its own bombast, squandering the talents of a fine cast and a fine concept.",69
70,tt12889404,Johnny Oleksinski,"Every time the characters in “Cyrano” began to sing, I emphatically begged them to stop.",70
71,tt12889404,Tara Brady,"In an ideal world, itll do Greatest Showman box office business. Mind you, in an ideal world, Dinklages forlorn turn would be nominated for an Oscar.",71
72,tt12889404,Jake Wilson,"Plainly we’re in a fantasy world, but the conventions aren’t firmly established enough to allow a smooth transition between the literal and the symbolic.",72
73,tt12889404,Brian Lowry,"Thanks to the cast, Cyrano is worth seeing, either now or later. But it's a relatively modest addition to the title's storied history, one where the music subtracts at least as much as it adds to the story's inherent poetry.",73
74,tt12889404,Robert Daniels,Wrights epic romance is a reminder of how much musicals are geared for grand designs and even grander emotions.,74
75,tt12889404,Bilge Ebiri,It’ll take you right back to high school and college and all those other places where you had your heart shattered into a million pieces.,75
76,tt12889404,Ty Burr,"You won’t come out humming the tunes, because, honestly, there are none. You probably will come out wanting to see Peter Dinklage take the lead in more movies, though, and I hope someone in Hollywood hears you.",76
77,tt12889404,Sheila O'Malley,"Cyrano gets the big things right, and Dinklage embodies it all.",77
78,tt12889404,Joe Morgenstern,"The casting is perfect in concept, and occasionally fulfills its promise, but in a notably imperfect film that’s afflicted by a benumbing score and dreary songs.",78
79,tt12889404,Charlotte O'Sullivan,"Here’s hoping Dinklage and Bennett keep getting cast as romantic leads. Blockbusters need more actors like these two. When treated with respect, Peter and Haley are to die for.",79
80,tt2328678,tt stern-enzi,The idea that it sat this long...I wish it just sat on the shelf a bit longer.,80
81,tt2328678,Claudia Puig,"A very colorful French bonbon with no substance, and it might just give you indigestion.",81
82,tt2328678,Richard Roeper,"The King's Daughter might be more fascinating than the movie itself, which has its moments of campy delights but is eventually sunk by the meandering story, some over-the-top performances and underwhelming special effects.",82
83,tt2328678,Mark Kennedy,"January is often where bad films are stashed, but The King's Daughter isn't just bad, it's a cloying, cliched mess that's not worth even the slightest risk of contacting COVID-19 to see in theaters.",83
84,tt2328678,Sheila O'Malley,It's a vast understatement to say that Vonda McIntyre's book deserved way better treatment than this.,84
85,tt2328678,Charles Bramesco,"Even the worst moments aren't flamboyantly awful enough to earn a full gawk; they play closer to off-key, the clear result of post-production tinkering.",85
86,tt2328678,Rafer Guzman,A generic combination of royal-themed fairy tale and magical fantasy.,86
87,tt2328678,Katie Walsh,"What is obvious is that no amount of time on the shelf or tinkering with the special effects that would have been enough to salvage the hot, chaotic and just plain kooky mess that is ""The King's Daughter.""",87
88,tt2328678,Mick LaSalle,"Even as we know it's dumb, they make us genuinely care.",88
89,tt2328678,James Berardinelli,"Calling a movie a ""fairy tale"" and having Julie Andrews provide ""Once Upon a Time..."" bookend narration are not sufficient reasons to abandon things like intelligent plotting and compelling character development.",89
90,tt2328678,Joe Morgenstern,Instead of The Shape of Water this is a stream of drivel.,90
